,PULocationID,DOLocationID,trip_distance,fare_amount,total_amount,duration,prediction
35638,74,229,4.2,16.0,21.05,16.266666666666666,15.252066102588165
52227,33,61,3.86,25.95,29.0,16.0,21.22081266557543
7881,181,91,0.0,25.53,26.33,33.55,19.454558146875527
58089,247,18,4.73,23.21,26.26,24.0,18.371668519731926
12998,7,7,1.6,8.0,8.8,9.916666666666666,8.60076107814298
54190,151,75,1.35,20.46,23.51,12.0,17.03441828753494
65325,208,208,1.08,11.45,14.5,6.0,10.87289584927148
13987,74,236,2.35,10.0,15.04,11.05,11.274869753890501
65623,18,174,1.01,13.88,16.93,7.0,13.357306056096993
27579,74,74,0.4,3.5,4.3,2.066666666666667,5.342498852700652
5736,95,137,9.02,26.5,43.4,20.483333333333334,26.32303681311523
49143,39,36,5.55,26.83,29.88,37.0,21.76095878310415
70753,113,85,10.02,35.5,47.42,38.0,30.381874118206603
67544,35,39,2.48,23.31,26.36,10.0,19.44794075266889
34152,41,159,3.5,15.0,17.8,18.466666666666665,13.892643740065658
11226,25,188,2.87,12.5,16.56,15.483333333333333,12.78131352012587
51455,75,74,10.52,32.1,35.15,29.0,25.108279558310898
20284,43,236,1.23,7.0,9.36,7.583333333333333,8.467471877298253
17200,42,74,1.28,7.5,8.3,9.45,8.14491354688091
38396,152,238,1.67,7.5,8.8,6.216666666666667,7.905960007838398
57112,126,126,0.46,14.61,17.66,3.0,13.30433231547796
7259,74,43,1.36,8.0,10.56,9.3,8.94050679985892
2639,130,215,1.33,6.5,9.8,5.916666666666667,8.052309217116667
71874,244,248,4.9,24.08,27.13,13.0,19.10087588999012
59998,205,205,0.81,18.58,21.63,4.0,15.61217549646462
37231,52,66,1.25,8.5,11.16,10.9,9.425302840194409
43717,169,224,11.29,38.49,41.54,43.0,28.99263611924755
22561,116,236,3.76,16.0,25.41,20.533333333333335,16.627529971219992
3276,97,97,0.53,5.0,6.96,4.783333333333333,6.659978761899687
43057,35,35,0.73,16.73,19.78,5.0,15.083205327824539
35424,41,163,3.68,13.5,18.55,14.533333333333333,13.710202031586096
36001,166,100,5.5,19.5,23.05,19.666666666666668,16.522332861289826
48924,210,22,3.59,24.93,27.98,12.0,19.68844873994565
48100,61,97,2.79,22.45,25.5,20.0,18.79034968943626
21533,65,66,0.81,5.5,6.3,6.166666666666667,6.705964479948206
30952,75,229,2.8,10.0,13.55,10.1,10.729814350527795
50847,35,76,1.89,23.31,26.36,11.0,19.47019305679258
6562,75,75,0.79,6.0,9.36,6.55,7.916970011754077
54174,244,116,1.08,16.67,19.72,3.0,14.108910336386367
20083,247,244,2.32,9.5,10.3,9.383333333333333,8.608670584524589
51447,72,39,2.48,23.31,26.36,16.0,19.273876942566538
52226,135,95,1.38,18.69,21.74,7.0,15.948260866299584
22880,195,80,6.68,19.0,26.39,12.683333333333334,17.424117999979288
2074,258,197,1.73,13.5,14.3,18.25,11.1805366377998
60601,130,130,0.0,32.95,36.0,2.0,25.44677437776832
76320,196,63,5.89,26.42,32.22,25.0,21.756301539417635
5010,188,188,0.12,3.0,4.8,1.6833333333333333,4.90309049018092
66198,244,116,0.75,12.34,15.39,5.0,11.238255498826591
8256,60,60,4.25,16.0,16.3,26.383333333333333,13.507128308551794
40592,215,205,2.19,18.58,21.63,8.0,15.56512614148244
35687,72,76,0.0,17.48,18.28,14.05,14.621419423254975
59629,258,198,5.04,19.68,22.73,21.0,16.08788175971263
54339,42,48,5.52,27.17,30.22,21.0,21.979471352719088
8819,41,263,2.51,12.0,18.66,14.8,13.355207114156505
28956,169,197,18.74,58.0,64.92,48.31666666666667,43.303422834182406
14835,74,166,1.98,10.5,13.3,14.316666666666666,10.758251927106071
38186,74,75,1.89,8.0,9.8,8.15,8.686280906789722
26584,235,148,12.92,49.0,49.8,55.35,34.79463268593838
56212,233,29,18.56,46.1,49.15,31.0,33.61945638063941
70766,37,17,0.89,25.95,29.0,8.0,21.175546277973346
29186,25,49,1.5,8.0,10.55,9.933333333333334,9.17103309749034
38735,244,238,3.45,13.5,20.46,14.05,13.487572253714955
895,145,28,9.5,29.0,35.75,20.283333333333335,24.027460927195406
72028,91,15,23.86,85.45,88.5,44.0,60.36687929102423
45590,71,140,14.44,35.56,44.73,36.0,29.662776622376548
55679,73,134,0.0,23.52,26.57,18.0,19.46553386755651
1140,75,236,1.12,7.0,12.66,7.733333333333333,9.504354403483013
60266,227,22,2.74,20.52,23.57,15.0,16.684783028009115
2021,41,166,1.36,6.5,7.3,5.55,7.541973265287699
32015,121,135,1.93,8.5,10.41,8.066666666666666,8.872319296347321
48445,242,174,3.38,19.57,22.62,13.0,16.075799594777205
25885,74,43,1.54,8.0,11.44,9.616666666666667,9.257152482245443
28198,74,42,0.75,9.0,10.8,13.183333333333334,9.32940945848146
47653,76,97,7.56,28.03,31.08,39.0,22.41913309841626
51685,259,208,5.44,27.49,30.54,15.0,21.266977808513694
49130,49,61,2.77,16.73,19.78,21.0,15.032971060594159
48693,188,181,3.67,21.64,24.69,17.0,17.706393050548623
52312,242,188,19.61,58.42,67.59,36.0,44.042638383480764
17025,181,65,2.71,13.0,13.8,16.916666666666668,11.131910551173684
37205,95,130,3.54,16.5,17.3,20.816666666666666,13.895968039691786
24896,52,40,0.0,3.0,3.8,1.6666666666666667,5.094067126997459
73481,247,169,0.26,18.52,21.57,3.0,15.353164654880496
45135,137,113,1.6,16.62,19.67,9.0,14.577329624570321
4925,97,61,2.74,15.0,17.6,21.7,13.498300751122931
58115,136,18,1.58,13.88,16.93,9.0,12.708370170820372
993,97,37,3.43,15.0,18.96,18.733333333333334,13.973228226046063
74767,75,108,18.78,50.67,59.84,55.0,39.64216215075025
18572,116,74,2.2,9.5,12.35,10.483333333333333,9.860362723603714
19832,74,41,0.93,5.0,6.3,4.45,6.49701848328283
3770,75,224,5.9,19.5,24.05,16.316666666666666,17.384827672801038
10696,95,137,10.76,31.0,52.87,20.333333333333332,31.094723399217877
7750,236,143,2.4,10.0,16.25,10.733333333333333,10.892215065941883
6028,42,42,0.94,6.0,6.8,5.1,7.13121784411007
46675,127,74,4.96,25.95,29.0,13.0,20.786410062247093
32356,75,263,1.2,7.5,12.71,8.266666666666667,9.690153797350439
